Date, AvgTemperature, Precipitation, Snowfall, SnowDepth
30-Apr-2011,55,0.06,0,0
1-May-2011,43.5,0,0,0
2-May-2011,45.5,0,0,0
3-May-2011,50.5,0,0,0
4-May-2011,52,0.07,0,0
5-May-2011,44.5,0.94,0,0
6-May-2011,42,0.43,0,0
7-May-2011,53,0.04,0,0
8-May-2011,55.5,0.32,0,0
9-May-2011,50.5,0,0,0
10-May-2011,53,0.04,0,0
11-May-2011,46.5,0.13,0,0
12-May-2011,51.5,0,0,0
13-May-2011,49.5,0,0,0
14-May-2011,56,0.05,0,0
15-May-2011,49.5,0.62,0,0
16-May-2011,44.5,1.08,0,0
17-May-2011,40.5,0.27,0,0
18-May-2011,43,0.19,0,0
19-May-2011,50,0.11,0,0
20-May-2011,62.5, T,0,0
21-May-2011,60, T,0,0
22-May-2011,48.5,0.23,0,0
23-May-2011,53.5,0,0,0
24-May-2011,47.5,0.09,0,0
25-May-2011,60, T,0,0
26-May-2011,58,0,0,0
27-May-2011,66,0.28,0,0
28-May-2011,58.5,0.77,0,0
29-May-2011,53.5,0.44,0,0
30-May-2011,64.5,0.25,0,0
31-May-2011,63,0,0,0
1-Jun-2011,67.5,0,0,0
2-Jun-2011,67.5,0.04,0,0
3-Jun-2011,57,0,0,0
4-Jun-2011,49, T,0,0
5-Jun-2011,52.5,0,0,0
6-Jun-2011,59,0,0,0
7-Jun-2011,62,0,0,0
8-Jun-2011,64,0,0,0
9-Jun-2011,72,0.02,0,0
10-Jun-2011,72.5,0.03,0,0
11-Jun-2011,59,0,0,0
12-Jun-2011,60.5,0.05,0,0
13-Jun-2011,51,0.66,0,0
14-Jun-2011,53,0.11,0,0
15-Jun-2011,54.5, T,0,0
16-Jun-2011,60.5,0.15,0,0
17-Jun-2011,67.5,0.52,0,0
18-Jun-2011,68.5,0.11,0,0
19-Jun-2011,62,0.2,0,0
20-Jun-2011,58,0,0,0
21-Jun-2011,61.5,0,0,0
22-Jun-2011,64,0,0,0
23-Jun-2011,58,0,0,0
24-Jun-2011,64.5,0,0,0
25-Jun-2011,57.5,0.34,0,0
26-Jun-2011,53,0.35,0,0
27-Jun-2011,64,0.24,0,0
28-Jun-2011,66.5,0,0,0
29-Jun-2011,68.5,0,0,0
30-Jun-2011,63.5,0.03,0,0
1-Jul-2011,62.5,0,0,0
2-Jul-2011,67,0,0,0
3-Jul-2011,70.5,0,0,0
4-Jul-2011,65.5,0.18,0,0
5-Jul-2011,68.5,0,0,0
6-Jul-2011,69.5,0,0,0
7-Jul-2011,72,0.41,0,0
8-Jul-2011,63,0,0,0
9-Jul-2011,64,0.02,0,0
10-Jul-2011,66.5,0,0,0
11-Jul-2011,73.5,0,0,0
12-Jul-2011,76.5,0.81,0,0
13-Jul-2011,73,0,0,0
14-Jul-2011,63,0.03,0,0
15-Jul-2011,62.5,0,0,0
16-Jul-2011,64.5,0,0,0
17-Jul-2011,70.5,0,0,0
18-Jul-2011,76,0,0,0
19-Jul-2011,71.5,0,0,0
20-Jul-2011,66,0,0,0
21-Jul-2011,71,0,0,0
22-Jul-2011,75.5,0.22,0,0
23-Jul-2011,77.5,0,0,0
24-Jul-2011,76,0,0,0
25-Jul-2011,62,0,0,0
26-Jul-2011,65,0.21,0,0
27-Jul-2011,59.5,0.21,0,0
28-Jul-2011,58.5,0.69,0,0
29-Jul-2011,68.5,0,0,0
30-Jul-2011,68,0.31,0,0
31-Jul-2011,67,0.07,0,0
1-Aug-2011,67.5,0,0,0
2-Aug-2011,70,0.21,0,0
3-Aug-2011,64,0.94,0,0
4-Aug-2011,67.5,0.12,0,0
5-Aug-2011,64,0.07,0,0
6-Aug-2011,67.5,0,0,0
7-Aug-2011,73.5,0,0,0
8-Aug-2011,69.5,0.02,0,0
9-Aug-2011,65.5,0.11,0,0
10-Aug-2011,67, T,0,0
11-Aug-2011,60,0.25,0,0
12-Aug-2011,61.5,0.58,0,0
13-Aug-2011,63,0,0,0
14-Aug-2011,69.5,0.02,0,0
15-Aug-2011,72.5, T,0,0
16-Aug-2011,65.5,0.51,0,0
17-Aug-2011,60.5,0.03,0,0
18-Aug-2011,62.5,0,0,0
19-Aug-2011,65.5,0,0,0
20-Aug-2011,73, T,0,0
21-Aug-2011,71.5,0.03,0,0
22-Aug-2011,72.5,1.1,0,0
23-Aug-2011,60.5,0.12,0,0
24-Aug-2011,58.5,0,0,0
25-Aug-2011,67.5,0,0,0
26-Aug-2011,65.5,0.21,0,0
27-Aug-2011,63,0,0,0
28-Aug-2011,65,0.33,0,0
29-Aug-2011,65,3.32,0,0
30-Aug-2011,60.5,0,0,0
31-Aug-2011,63,0,0,0
1-Sep-2011,60,0,0,0
2-Sep-2011,61.5,0,0,0
3-Sep-2011,62.5,0,0,0
4-Sep-2011,64,0.71,0,0
5-Sep-2011,71,0.8,0,0
6-Sep-2011,64.5,1.53,0,0
7-Sep-2011,60,0.05,0,0
8-Sep-2011,56,0.09,0,0
9-Sep-2011,63, T,0,0
10-Sep-2011,61,0,0,0
11-Sep-2011,52.5,0,0,0
12-Sep-2011,55,0,0,0
13-Sep-2011,65,0,0,0
14-Sep-2011,68.5,0.13,0,0
15-Sep-2011,63,0,0,0
16-Sep-2011,53,0.97,0,0
17-Sep-2011,50.5,0,0,0
18-Sep-2011,49.5,0,0,0
19-Sep-2011,51,0,0,0
20-Sep-2011,52,0,0,0
21-Sep-2011,50.5,0.02,0,0
22-Sep-2011,61.5,0,0,0
23-Sep-2011,58.5,0.03,0,0
24-Sep-2011,70,0.14,0,0
25-Sep-2011,64.5,0.09,0,0
26-Sep-2011,69.5,0,0,0
27-Sep-2011,62,0,0,0
28-Sep-2011,57,0,0,0
29-Sep-2011,54,0,0,0
30-Sep-2011,60,0.26,0,0
1-Oct-2011,64,0,0,0
2-Oct-2011,51.5,0.35,0,0
3-Oct-2011,50,1.22,0,0
4-Oct-2011,53.5,0.15,0,0
5-Oct-2011,49,0.6,0,0
6-Oct-2011,39.5,0.05,0,0
7-Oct-2011,37.5,0,0,0
8-Oct-2011,41.5,0,0,0
9-Oct-2011,61.5,0,0,0
10-Oct-2011,68,0,0,0
11-Oct-2011,53.5,0,0,0
12-Oct-2011,48,0,0,0
13-Oct-2011,46,0,0,0
14-Oct-2011,52,0.37,0,0
15-Oct-2011,60,1.06,0,0
16-Oct-2011,53.5,0.05,0,0
17-Oct-2011,49,0.15,0,0
18-Oct-2011,50.5,0,0,0
19-Oct-2011,49, T,0,0
20-Oct-2011,50,0.5,0,0
21-Oct-2011,52,0.24,0,0
22-Oct-2011,49,0.02,0,0
23-Oct-2011,48.5,0.11,0,0
24-Oct-2011,48.5,0,0,0
25-Oct-2011,47.5,0.17,0,0
26-Oct-2011,45.5,0,0,0
27-Oct-2011,40,0,0,0
28-Oct-2011,35,0,0,0
29-Oct-2011,34.5, T, T,0
30-Oct-2011,34.5,0.35,1,1
31-Oct-2011,34.5,0.05,0.5,0
1-Nov-2011,38,0,0,0
2-Nov-2011,38.5,0,0,0
3-Nov-2011,40,0,0,0
4-Nov-2011,42.5,0,0,0
5-Nov-2011,35.5, T, T,0
6-Nov-2011,33.5,0,0,0
7-Nov-2011,40,0,0,0
8-Nov-2011,42.5,0,0,0
9-Nov-2011,47.5,0,0,0
10-Nov-2011,49.5,0,0,0
11-Nov-2011,50.5,0.67,0,0
12-Nov-2011,39,0.02,0,0
13-Nov-2011,37,0,0,0
14-Nov-2011,44,0,0,0
15-Nov-2011,51,0,0,0
16-Nov-2011,41,0,0,0
17-Nov-2011,41, T,0,0
18-Nov-2011,34.5,0,0,0
19-Nov-2011,31.5, T, T,0
20-Nov-2011,34,0,0,0
21-Nov-2011,36.5, T,0,0
22-Nov-2011,23.5,0,0,0
23-Nov-2011,24,0.13,1.5,2
24-Nov-2011,20,0.53,5,6
25-Nov-2011,26,0,0,5
26-Nov-2011,37,0,0,2
27-Nov-2011,42,0,0,0
28-Nov-2011,40, T,0,0
29-Nov-2011,40,0,0,0
30-Nov-2011,46, T,0,0
1-Dec-2011,48,0.48,0,0
2-Dec-2011,29.5,0,0,0
3-Dec-2011,27,0.04,0.5, M
4-Dec-2011,27,0,0,0
5-Dec-2011,36.5,0,0,0
6-Dec-2011,41, T,0,0
7-Dec-2011,37.5,0.11,0,0
8-Dec-2011,33.5,0.9,1.5,2
9-Dec-2011,27,0.07,0.5,1
10-Dec-2011,32.5, T, T,1
11-Dec-2011,24, T, T,1
12-Dec-2011,24,0,0,1
13-Dec-2011,29,0,0,1
14-Dec-2011,27.5,0,0,1
15-Dec-2011,28, T, T,1
